"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2021","00000","United States","324173084","41393176","41,149,497 to 41,636,855","12.8","12.7 to 12.9"
"2021","27000","Minnesota","5587068","519437","507,482 to 531,392","9.3","9.1 to 9.5"
"2021","27001","Aitkin","15677","1703","1,383 to 2,023","10.9","8.9 to 12.9"
"2021","27003","Anoka","363175","24537","21,220 to 27,854","6.8","5.9 to 7.7"
"2021","27005","Becker","34699","3929","3,285 to 4,573","11.3","9.4 to 13.2"
"2021","27007","Beltrami","44535","6816","5,426 to 8,206","15.3","12.2 to 18.4"
"2021","27009","Benton","40794","3547","2,831 to 4,263","8.7","6.9 to 10.5"
"2021","27011","Big Stone","5009","642","516 to 768","12.8","10.3 to 15.3"
"2021","27013","Blue Earth","65622","8653","7,420 to 9,886","13.2","11.3 to 15.1"
"2021","27015","Brown","24747","2274","1,866 to 2,682","9.2","7.6 to 10.8"
"2021","27017","Carlton","34743","3605","2,950 to 4,260","10.4","8.5 to 12.3"
"2021","27019","Carver","107596","4979","4,063 to 5,895","4.6","3.7 to 5.5"
"2021","27021","Cass","30369","3566","2,896 to 4,236","11.7","9.5 to 13.9"
"2021","27023","Chippewa","12146","1290","1,038 to 1,542","10.6","8.5 to 12.7"
"2021","27025","Chisago","56030","3659","2,914 to 4,404","6.5","5.2 to 7.8"
"2021","27027","Clay","62607","8064","6,673 to 9,455","12.9","10.7 to 15.1"
"2021","27029","Clearwater","8475","1185","976 to 1,394","14","11.5 to 16.5"
"2021","27031","Cook","5563","540","418 to 662","9.7","7.5 to 11.9"
"2021","27033","Cottonwood","11362","1364","1,097 to 1,631","12","9.6 to 14.4"
"2021","27035","Crow Wing","66551","7114","5,952 to 8,276","10.7","9.0 to 12.4"
"2021","27037","Dakota","438688","22043","18,796 to 25,290","5","4.3 to 5.7"
"2021","27039","Dodge","20773","1240","961 to 1,519","6","4.7 to 7.3"
"2021","27041","Douglas","38750","3580","2,970 to 4,190","9.2","7.6 to 10.8"
"2021","27043","Faribault","13558","1540","1,237 to 1,843","11.4","9.2 to 13.6"
"2021","27045","Fillmore","20908","2574","2,220 to 2,928","12.3","10.6 to 14.0"
"2021","27047","Freeborn","30164","3074","2,451 to 3,697","10.2","8.1 to 12.3"
"2021","27049","Goodhue","47116","3771","3,092 to 4,450","8","6.6 to 9.4"
"2021","27051","Grant","6065","608","472 to 744","10","7.8 to 12.2"
"2021","27053","Hennepin","1245083","124666","116,361 to 132,971","10","9.3 to 10.7"
"2021","27055","Houston","18544","1373","1,065 to 1,681","7.4","5.7 to 9.1"
"2021","27057","Hubbard","21535","2202","1,744 to 2,660","10.2","8.1 to 12.3"
"2021","27059","Isanti","41432","3516","2,952 to 4,080","8.5","7.1 to 9.9"
"2021","27061","Itasca","44172","5390","4,492 to 6,288","12.2","10.2 to 14.2"
"2021","27063","Jackson","9864","1012","823 to 1,201","10.3","8.4 to 12.2"
"2021","27065","Kanabec","15997","2027","1,708 to 2,346","12.7","10.7 to 14.7"
"2021","27067","Kandiyohi","42997","5345","4,556 to 6,134","12.4","10.6 to 14.2"
"2021","27069","Kittson","4050","395","308 to 482","9.8","7.7 to 11.9"
"2021","27071","Koochiching","11724","1597","1,232 to 1,962","13.6","10.5 to 16.7"
"2021","27073","Lac qui Parle","6537","639","501 to 777","9.8","7.7 to 11.9"
"2021","27075","Lake","10807","953","745 to 1,161","8.8","6.9 to 10.7"
"2021","27077","Lake of the Woods","3766","391","300 to 482","10.4","8.0 to 12.8"
"2021","27079","Le Sueur","28561","1925","1,536 to 2,314","6.7","5.3 to 8.1"
"2021","27081","Lincoln","5452","482","372 to 592","8.8","6.8 to 10.8"
"2021","27083","Lyon","24460","2555","2,065 to 3,045","10.4","8.4 to 12.4"
"2021","27085","McLeod","36309","2725","2,223 to 3,227","7.5","6.1 to 8.9"
"2021","27087","Mahnomen","5328","997","817 to 1,177","18.7","15.3 to 22.1"
"2021","27089","Marshall","8907","828","642 to 1,014","9.3","7.2 to 11.4"
"2021","27091","Martin","19623","2117","1,671 to 2,563","10.8","8.5 to 13.1"
"2021","27093","Meeker","23033","1991","1,614 to 2,368","8.6","7.0 to 10.2"
"2021","27095","Mille Lacs","26279","2869","2,339 to 3,399","10.9","8.9 to 12.9"
"2021","27097","Morrison","33592","3398","2,795 to 4,001","10.1","8.3 to 11.9"
"2021","27099","Mower","39622","4590","3,849 to 5,331","11.6","9.7 to 13.5"
"2021","27101","Murray","8023","698","535 to 861","8.7","6.7 to 10.7"
"2021","27103","Nicollet","31986","3141","2,560 to 3,722","9.8","8.0 to 11.6"
"2021","27105","Nobles","21629","2460","1,963 to 2,957","11.4","9.1 to 13.7"
"2021","27107","Norman","6275","744","580 to 908","11.9","9.3 to 14.5"
"2021","27109","Olmsted","161220","12458","10,532 to 14,384","7.7","6.5 to 8.9"
"2021","27111","Otter Tail","58986","5630","4,577 to 6,683","9.5","7.7 to 11.3"
"2021","27113","Pennington","13468","1347","1,055 to 1,639","10","7.8 to 12.2"
"2021","27115","Pine","27774","3031","2,459 to 3,603","10.9","8.8 to 13.0"
"2021","27117","Pipestone","9097","965","758 to 1,172","10.6","8.3 to 12.9"
"2021","27119","Polk","29702","3658","3,037 to 4,279","12.3","10.2 to 14.4"
"2021","27121","Pope","11239","970","763 to 1,177","8.6","6.8 to 10.4"
"2021","27123","Ramsey","527963","68409","61,312 to 75,506","13","11.7 to 14.3"
"2021","27125","Red Lake","3900","353","269 to 437","9.1","6.9 to 11.3"
"2021","27127","Redwood","15065","1410","1,136 to 1,684","9.4","7.6 to 11.2"
"2021","27129","Renville","14281","1514","1,211 to 1,817","10.6","8.5 to 12.7"
"2021","27131","Rice","60067","5661","4,566 to 6,756","9.4","7.6 to 11.2"
"2021","27133","Rock","9430","913","737 to 1,089","9.7","7.8 to 11.6"
"2021","27135","Roseau","15058","1487","1,255 to 1,719","9.9","8.4 to 11.4"
"2021","27137","Saint Louis","191613","26441","23,708 to 29,174","13.8","12.4 to 15.2"
"2021","27139","Scott","151566","7034","5,584 to 8,484","4.6","3.6 to 5.6"
"2021","27141","Sherburne","96719","5756","4,521 to 6,991","6","4.7 to 7.3"
"2021","27143","Sibley","14731","1322","1,057 to 1,587","9","7.2 to 10.8"
"2021","27145","Stearns","152968","20682","18,293 to 23,071","13.5","11.9 to 15.1"
"2021","27147","Steele","36836","3345","2,712 to 3,978","9.1","7.4 to 10.8"
"2021","27149","Stevens","8841","1051","860 to 1,242","11.9","9.7 to 14.1"
"2021","27151","Swift","9578","1035","828 to 1,242","10.8","8.6 to 13.0"
"2021","27153","Todd","24916","3262","2,678 to 3,846","13.1","10.8 to 15.4"
"2021","27155","Traverse","3181","402","301 to 503","12.6","9.4 to 15.8"
"2021","27157","Wabasha","21296","1573","1,257 to 1,889","7.4","5.9 to 8.9"
"2021","27159","Wadena","13757","1748","1,364 to 2,132","12.7","9.9 to 15.5"
"2021","27161","Waseca","18058","1597","1,231 to 1,963","8.8","6.8 to 10.8"
"2021","27163","Washington","268485","13900","11,619 to 16,181","5.2","4.4 to 6.0"
"2021","27165","Watonwan","10965","1269","1,026 to 1,512","11.6","9.4 to 13.8"
"2021","27167","Wilkin","6228","621","486 to 756","10","7.8 to 12.2"
"2021","27169","Winona","46064","5684","4,824 to 6,544","12.3","10.4 to 14.2"
"2021","27171","Wright","143498","7005","5,514 to 8,496","4.9","3.9 to 5.9"
"2021","27173","Yellow Medicine","9208","984","781 to 1,187","10.7","8.5 to 12.9"